sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-100468675#0,1617890018,1161457643,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,15.751317405220345,342.7154142384082,2564.7,3676.11,2560.02,3691.15
-100468675#1,1172949639,1617890018,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,67.7992801024651,345.9576073767812,2581.15,3610.34,2564.7,3676.11
-100468675#2,1172949655,1172949639,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,49.65831861685906,346.41989674667417,2592.81,3562.07,2581.15,3610.34
-100468675#3,534718083,1172949655,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,195.01879467231274,354.2161993051647,2612.43,3368.37,2592.81,3562.07
-100468681#0,4171544027,1161457663,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,94.49282438366329,298.9915478282335,2679.74,3674.44,2597.14,3720.21
-100468681#1,1333258214,4171544027,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,483.25459473887463,309.0625150429467,3043.26,3379.41,2679.74,3674.44
-100468681#2,1172966013,1333258214,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,49.1476072662746,340.47007886204943,3059.69,3333.09,3043.26,3379.41
-100468681#3,1173079964,1172966013,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,57.4552497653846,341.5208512236913,3077.88,3278.66,3059.69,3333.09
-100468681#4,1173060683,1173079964,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,68.70402173154005,8.028841595490121,3068.38,3211.31,3077.88,3278.66
-100468681#5,4171595316,1173060683,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,67.33152015439958,18.262728324830846,3047.28,3147.37,3068.38,3211.31
-100468681#6,1162051812,4171595316,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,8.482529103987922,16.57631987305416,3044.86,3139.24,3047.28,3147.37
-100468681#7,4171250157,1162051812,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,70.4104404740792,17.719560798554426,3023.43,3072.17,3044.86,3139.24
-100468681#8,1161457771,4171250157,11,highway.secondary,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,secondary,79.58338549527097,1.148982055678232,3021.86,2993.89,3023.43,3072.17
-100488715#0,1161680943,1161680941,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,165.82373828877553,235.1880054962407,2134.23,2409.43,1998.51,2315.06
-100488715#1,1178045782,1161680943,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,44.81738598649301,221.12453556431075,2163.68,2443.16,2134.23,2409.43
-100488715#2,1161680870,1178045782,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,146.7479670999085,223.00134609938044,2263.24,2549.92,2163.68,2443.16
-100488715#3,1171084380,1161680870,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,188.5645111969438,248.9706396265619,2437.54,2616.93,2263.24,2549.92
-100488715#4,1161680892,1171084380,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,13.581903401217321,243.54814415707116,2449.7,2622.98,2437.54,2616.93
-100488715#5,1173027927,1161680892,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,59.06589201899873,234.69010584287093,2497.9,2657.12,2449.7,2622.98
-100488715#6,1173027844,1173027927,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,165.71823354750023,236.31952172573202,2635.8,2749.02,2497.9,2657.12
-100488715#7,1161680825,1173027844,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,98.0823609073812,238.8471159715919,2719.39,2799.55,2635.8,2749.02
-100525438#0,1162051794,1162051812,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,105.41484509508118,90.9743426020566,2939.61,3141.03,3044.86,3139.24
-100525438#1,1162051803,1162051794,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,183.45193849782814,87.59544672646359,2756.48,3133.34,2939.61,3141.03
-100525438#2,1162051787,1162051803,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,74.36407454223786,80.67002388453955,2683.44,3121.34,2756.48,3133.34
-100525440,2866251561,1162051805,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,29.019624394536656,342.3267854034386,2739.78,2723.55,2730.97,2751.2
-100525445,171981942,258908518,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,90.00917815685331,161.8690100550059,2615.51,2565.54,2643.52,2480.0
-1006827381,847832096,1171068836,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,17.098634448399448,56.328519911978674,3509.29,2594.26,3523.52,2603.74
-101411571#0,1171034423,847832020,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,13.061106384988781,353.2286568103447,2914.45,2282.27,2912.91,2295.24
-101411571#1,1171034464,1171034423,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,11.464597681558514,355.5476325712376,2915.34,2270.84,2914.45,2282.27
-101415864#0,1171060052,1171052248,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,70.89835682157945,344.5308275967276,3344.57,2573.48,3325.66,2641.81
-101415864#1,1171052198,1171060052,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,74.94569367215155,345.0533166858824,3363.9,2501.07,3344.57,2573.48
-101415865#0,1171052112,1171034472,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,280.62529256073356,44.29507990271827,2353.24,2004.8,2548.31,2204.73
-101415865#1,1351127446,1171052112,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,70.86572725937414,26.409572666936185,2321.72,1941.33,2353.24,2004.8
-101415865#2,1171052110,1351127446,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,199.16080419325365,14.01484475137795,2274.54,1752.31,2321.72,1941.33
-101416507,1171060060,1171060052,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,136.3092638093095,254.44436529439508,3457.98,2605.05,3344.57,2573.48
-101416509,1171060031,1171046127,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,100.6821183770011,275.39187212191234,3443.06,2664.86,3367.73,2671.97
-101418584#0,8638578434,1171084257,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,201.22048892013368,237.86265781386663,2289.95,2451.04,2120.42,2344.54
-101418584#1,1171084344,8638578434,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,235.09051187356556,236.4492524215819,2485.77,2580.9,2289.95,2451.04
-101418584#2,1353867565,1171084344,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,82.24971550102786,243.89602175655676,2559.63,2617.09,2485.77,2580.9
-101418584#3,1171084196,1353867565,3,highway.residential,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,26.24443539652096,244.05982689046184,2583.23,2628.57,2559.63,2617.09
