origins,destinations,path,free_flow_time,route_id,total_length,mean_speed,speed_std,speed_range,pct_high_speed,pct_high_capacity,pct_mid_capacity,pct_local,road_type_entropy,lane_changes_per_km,priority_changes_per_km,yield_priority_changes_per_km,traffic_lights_per_km,bearing_std,turns_per_km,left_yield_turns_per_km,mean_circuity,edges_per_km,edge_dist_from_shortest,mean_edge_dist_to_other_routes,max_edge_dist_to_other_routes,spatial_distinct_rank_for_OD,cluster
-10427692#1,-128361102#1,"-10427692#1,-285549250#1,-128361102#1",0.1597070182180205,a49324549f712d3f9ae267d80beb1901260009bb43e17939455ad29c9f554a41,459.8256482301315,60.0,17.313579872458497,29.988,1.0,0.0,1.0,0.0,0.3880802463163471,2.17473732456856,2.17473732456856,0.0,2.17473732456856,45.85498758128193,2.17473732456856,0.0,1.1494419464181145,6.524211973705679,0.0,0.0,0.0,1.0,3
-10427692#6,-128361102#1,"-10427692#6,-10427692#5,-10427692#4,-10427692#3,-10427692#2,-10427692#1,-285549250#1,-128361102#1",0.2906476122774264,6b23da113fb368d491507c9dc206c11d099572a9b363cfb65b93bf9c0c1daed8,658.5366744834693,72.495,13.881746575989636,29.988,1.0,0.0,1.0,0.0,0.6701331023996349,3.037036626044742,1.518518313022371,0.0,1.518518313022371,37.34555625347865,1.518518313022371,0.0,1.2775525800096623,12.148146504178968,0.0,0.7847265221878225,0.8,1.0,1
-10427692#6,-128361102#1,"-10427692#6,-10427692#5,24634516#0,24634516#1,24634516#2,120125554,-24634517#3,201963533#4,201963533#5,-26642362#5,-26642362#3,-22716073,-22716072#3,-18809672#1,-285549250#1,-128361102#1",2.597967101480534,af5f8ffec010336786f06289193304c5a8fee424d53d72e5b91e08e7ab7e8a0e,1533.4502848349073,40.626000000000005,22.04790406365195,69.98400000000001,0.5363881430963929,0.0,0.4147042062623684,0.4293225544411552,1.2832809103114389,0.0,3.912745042559998,1.3042483475199993,1.3042483475199993,94.40916624487842,3.912745042559998,0.6521241737599996,2.9748736002349467,10.433986780159994,0.8,0.5088235294117648,0.8,0.5,2
-10427692#6,-128361102#1,"-10427692#6,-10427692#5,24634516#0,24634516#1,24634516#2,120125554,-24634517#3,-201963533#1,-201963533#1.120,-201963533#1.145,-201963533#0,-285549250#1,-128361102#1",1.883164031224354,64885da998f45717a52ac26cf0c82c12d8fa1944f53c8796503cbe481feb655f,1156.7697542762903,43.080923076923085,23.933594863223604,69.98400000000001,0.7932369796654639,0.0,0.6767478927143183,0.1164890869511456,1.1129740986616476,3.457905071612561,2.5934288037094206,0.8644762679031402,1.7289525358062805,86.12976296552495,2.5934288037094206,0.8644762679031402,2.244118272094677,11.238191482740824,0.7647058823529411,0.6136738906088751,0.7647058823529411,0.75,3
-129379925,-315358244,"-129379925,-40888351#6,-40888351#2,-40888351#0,-201950250#2,-201950250#1,-201950250#0,-26677214#5,-26677214#4,-26677214#3,-26677214#2,201950259#0,201950259#4,201950263#0,201950263#7,129379967#0,-315358250#1,-315358250#0,-379897806,-164078530,-315358244",2.408767898808192,e5eb28c90c16609391d0467d2808d9dc489dc273b5e8a9f048b7a9159757f793,1868.6861487936292,40.472571428571435,10.24351457543469,20.016000000000005,0.5779743571218675,0.0,0.0749103858573497,0.9250896141426505,0.8797715538232415,1.6054060238722885,1.6054060238722885,0.5351353412907628,0.5351353412907628,63.70549041040399,1.6054060238722885,0.5351353412907628,3.062697446245923,11.237842167106018,0.7931034482758621,0.5958308478194259,0.8157894736842105,0.5,0
-129379925,-315358244,"-129379925,-129379918#1,-315358252#1,-129379922,-315358246,-129379920#1,-129379920#0,-129379921#1,-129379921#0,-315358250#1,-315358250#0,-379897806,-164078530,-315358244",0.5679985601151907,092e642286d9126bf4f41502d2f0d768a2d064cf376417677c23b8ae8cd185a1,598.5601587795682,50.00400000000001,7.373650442769571e-15,0.0,1.0,0.0,1.0,0.0,-0.0,5.012027539749451,0.0,0.0,3.341351693166301,4.25329864874987,0.0,0.0,0.981014747127122,23.389461852164107,0.0,0.793626112822944,0.8484848484848485,1.0,1
-129379925,-315358244,"129379925,315358242#0,315358242#1,315358242#2,-201950247#8,-201950247#7,-201950247#6,-201950247#5,-201950247#4,53396619#5,53396619#6,-26677216#2,-26677216#1,-26677216#0,26677214#5,-26677542#1,-26677542#0,201950263#7,129379967#0,-315358250#1,-315358250#0,-379897806,-164078530,-315358244",2.6582549218391462,07cd71ac9d355e91aeeaf0b54735417779dcbcb87b4189a092ebfe74ea23add6,1831.9287626842888,39.162,10.1876911921243,20.016000000000005,0.4264136018519158,0.0,0.2454565802950878,0.7545434197049122,0.9729483184197592,1.0917455092901318,1.6376182639351975,0.5458727546450659,0.5458727546450659,73.02180384701025,1.6376182639351975,0.0,3.290457977608133,13.100946111481582,0.8484848484848485,0.7366360647083884,0.851063829787234,0.9166666666666666,2
-129379925,-315358244,"-129379925,-40888351#6,-26677416#7,-26677416#3,26677540#0,-26677541,26677540#2,-201950250#0,-26677542#1,-26677542#0,201950263#7,129379967#0,-315358250#1,-315358250#0,-379897806,-164078530,-315358244",1.748063645904726,58120a06d0abc1f63e3529014c3ac17d1cd77ec8c22dfef53d0d403e9a498f17,1310.7893354479224,40.58470588235294,10.298147040637373,20.016000000000005,0.4959353736409189,0.0,0.1067936675000337,0.8932063324999662,0.8720145057283243,2.2886972901521516,3.8144954835869194,1.5257981934347675,0.7628990967173839,55.995374275451994,2.2886972901521516,0.7628990967173839,2.148328199914374,12.969284644195524,0.76,0.5107819449563931,0.76,0.0833333333333333,3
-136728347#4,-128361102#1,"128906555,-25187891,25145014#2,25145014#3,25187892,-28111977#6,26642362#1,26642362#2,-22716073,-22716072#3,-18809672#1,-285549250#1,-128361102#1",2.0957958705440416,71e0c8b74af13c8aeb3be7ac578cf31788876a99036ab8680faef60e19ac5b37,1876.9958346698536,43.845230769230774,9.615375379687874,20.016000000000005,0.7058418289155016,0.0,0.361962623134321,0.638037376865679,0.7257180097787402,0.0,1.5982986986903314,0.5327662328967772,0.5327662328967772,74.35182408658243,1.5982986986903314,0.0,2.3039294627523574,6.925961027658103,0.9,0.7107731391756771,0.9,0.6666666666666666,0
-136728347#4,-128361102#1,"-136728347#4,-201963533#5,-201963533#4,-201963533#1,-201963533#1.120,-201963533#1.145,-201963533#0,-285549250#1,-128361102#1",0.8700503959683225,0c2bc002aad2319b2be706b0395876392834e8dbbab69d379dda26b852105c2c,1081.81939179444,50.004000000000005,0.0,0.0,1.0,0.0,1.0,0.0,-0.0,5.5462122841481465,0.0,0.0,1.848737428049382,7.61359125381644,0.0,0.0,1.0047753287934251,8.31931842622222,0.0,0.8729393706625186,0.9090909090909092,1.0,1
