id,start_time,origin,destination,kind
0,0,0,0,Human
1,0,1,1,Human
2,2,2,2,Human
3,4,1,3,Human
4,5,3,4,Human
5,5,4,5,Human
6,5,1,1,Human
7,5,5,1,Human
8,8,1,1,Human
9,11,6,6,Human
10,11,4,7,Human
11,12,7,7,Human
12,12,1,1,Human
13,13,7,4,Human
14,15,7,7,Human
15,15,1,1,Human
16,16,8,8,Human
17,17,7,7,Human
18,18,1,3,Human
19,21,1,1,Human
20,21,9,0,Human
21,22,1,1,Human
22,23,1,1,Human
23,23,1,1,Human
24,25,10,6,Human
25,25,1,3,Human
26,26,7,7,Human
27,27,1,1,Human
28,28,7,7,Human
29,28,1,3,Human
30,28,1,3,Human
31,30,4,7,Human
32,30,1,1,Human
33,30,1,3,Human
34,31,11,9,Human
35,32,1,1,Human
36,33,1,10,Human
37,33,5,1,Human
38,33,1,3,Human
39,35,12,6,Human
40,35,1,3,Human
41,37,1,1,Human
42,37,7,7,Human
43,37,1,3,Human
44,39,13,11,Human
45,40,1,3,Human
46,40,7,12,Human
47,42,8,8,Human
48,43,1,1,Human
49,44,7,12,Human
50,44,8,8,Human
51,46,14,2,Human
52,46,15,0,Human
53,50,8,13,Human
54,55,9,14,Human
55,56,16,15,Human
56,57,9,10,Human
57,57,7,7,Human
58,58,17,9,Human
59,59,3,3,Human
60,60,2,4,Human
61,60,3,7,Human
62,60,12,12,Human
63,61,13,10,Human
64,63,8,8,Human
65,63,13,2,Human
66,64,18,7,Human
67,65,8,8,Human
68,66,8,8,Human
69,68,8,8,Human
70,69,12,2,Human
71,69,19,3,Human
72,72,2,7,Human
73,72,20,16,Human
74,73,2,7,Human
75,74,13,2,Human
76,74,8,8,Human
77,75,5,13,Human
78,75,2,7,Human
79,77,8,12,Human
80,77,2,6,Human
81,77,7,7,Human
82,78,21,12,Human
83,78,3,17,Human
84,79,7,12,Human
85,79,2,7,Human
86,80,20,2,Human
87,80,4,18,Human
88,81,7,7,Human
89,82,20,4,Human
90,82,22,7,Human
91,82,2,7,Human
92,82,4,6,Human
93,83,7,7,Human
94,84,7,12,Human
95,86,7,7,Human
96,88,4,7,Human
97,89,2,7,Human
98,89,3,6,Human
99,91,2,7,Human
100,91,3,6,Human
101,92,2,6,Human
102,93,7,7,Human
103,94,2,7,Human
104,96,2,19,Human
105,97,23,12,Human
