agent_id,source_id,route_id,probability,free_flow_time,edges
0,h2831c1:1,0,0.653750833462492,177.6875449964,201089423#0 201089423#2 32124744 32124743 285716192#0 285716192#0.83 201963535 104010354 124812857#0 201956811#0 10425609#0 10425609#1 201963537#1 104010475#0 104012170 -32124745 -32124743 -32124744 -201089423#2 -201089423#1 -32999434#1 32999110#0 -315358253#2 -315358253#1 -315358253#0 -315358248#1 -315358245 -202092675.36 -4942389#1 -4942389#0 -136436466 -315358251#1 -315358251#0 -315358242#2 -315358242#1 -315358242#0 -129379925 -129379918#1 -315358252#1 -129379922 -315358246 -129379920#1 -129379920#0 -129379921#1 -129379921#0 -315358250#1 -315358250#0 -379897806 -164078530 -315358244
0,h2831c1:1,1,0.257162167428378,199.84757358667,201089423#0 22716549#0 24634509#0 24634507 24634508 315392062#0 201238718#0 201238718#1 174800513 201201945#0 201201945#1 -136436468#2 26677213#0 201950259#0 201950259#4 201950263#0 201950263#7 129379967#0 -315358250#1 -315358250#0 -379897806 -164078530 -315358244
0,h2831c1:1,2,0.0775494692245053,197.984361779269,201089423#0 22716549#0 24634509#0 24634507 24634508 315392062#0 160314345#0 160314345#1 160314345#2 160314345#3 160314345#4 -315358245 -202092675.36 -4942389#1 -4942389#0 -136436466 -315358251#1 -315358251#0 -315358242#2 -315358242#1 -315358242#0 -129379925 -129379918#1 -315358252#1 -129379922 -315358246 -129379920#1 -129379920#0 -129379921#1 -129379921#0 -315358250#1 -315358250#0 -379897806 -164078530 -315358244
0,h2831c1:1,3,0.0091008299089917,253.390000492638,201089423#0 22716549#0 24634509#0 24634507 24634508 -24693977#1 -24693977#0 -32999434#1 -24634414#5 -24634414#4 -24634414#3 -24634414#2 -24634414#1 -24634414#0 23166741#2 -26677216#4 -26677216#2 -26677216#1 -26677216#0 26677214#5 -26677542#1 -26677542#0 201950263#7 129379967#0 -315358250#1 -315358250#0 -379897806 -164078530 -315358244
0,h2831c1:1,4,0.002436699975633,186.11957266708,201089423#0 22716549#0 24634509#0 24634507 24634508 -24693977#1 -24693977#0 -32999434#1 -24634414#5 -24634414#4 -24634414#3 24634416 -315358253#0 -315358248#1 -315358245 -202092675.36 -4942389#1 -4942389#0 -136436466 -315358251#1 -315358251#0 -315358242#2 -315358242#1 -315358242#0 -129379925 -129379918#1 -315358252#1 -129379922 -315358246 -129379920#1 -129379920#0 -129379921#1 -129379921#0 -315358250#1 -315358250#0 -379897806 -164078530 -315358244
1,carIn107084:1,0,0.999878759998788,144.727906713441,124812856#0 124812856#1 201956821#0 201956821#1.68 201963537#1 -164051413 -653473569#5 -653473569#4 -653473569#2 -653473569#1 -653473569#0 -653473568#1 -28111977#10 -28111977#9 -25187893 -25145012#0 25209894#1 25145014#3 25145014#4 26642362#2 26642362#3 26642362#4 -201963533#5 -201963533#4 -201963533#1 -201963533#1.120 -201963533#1.145 -201963533#0 -285549250#1 -128361102#1
1,carIn107084:1,1,0.0001135400011354,140.972642188625,124812856#0 124812856#1 201956821#0 201956821#1.68 201963537#1 -164051413 -653473569#5 25145013#0 25145013#1 -233675413#8 -233675413#6 -233675413#3 -233675413#2 -233675413#1 -233675413#0 -136728347#4 -201963533#5 -201963533#4 -201963533#1 -201963533#1.120 -201963533#1.145 -201963533#0 -285549250#1 -128361102#1
1,carIn107084:1,2,6.5200000652e-06,145.949604031677,124812856#0 124812856#1 201956821#0 201956821#1.68 201956811#0 10425609#0 10425609#1 201963537#1 -164051413 -653473569#5 25145013#0 -25145012#6 -25145012#5 -22716069#1 -22716069#0 -233675413#1 -233675413#0 -136728347#4 -201963533#5 -201963533#4 -201963533#1 -201963533#1.120 -201963533#1.145 -201963533#0 -285549250#1 -128361102#1
1,carIn107084:1,3,1.1800000118e-06,138.984881209503,124812856#0 124812856#1 201956821#0 201956821#1.68 201963537#1 -164051413 -653473569#5 -653473569#4 25145011#0 -25145012#5 -25145012#4 -25145012#3 -25145012#2 -25145012#1 -25145012#0 25209894#1 25145014#3 25145014#4 26642362#2 26642362#3 26642362#4 -201963533#5 -201963533#4 -201963533#1 -201963533#1.120 -201963533#1.145 -201963533#0 -285549250#1 -128361102#1
2,carIn80064:1,0,0.998754309987543,81.9936994989954,128361109#1 128361109#3 128361109#4 201238719#0 170018165#0 -224892361#8 -224892361#6 224892339#0 315358255#0 -315358254#1
