sumo_id,from,to,priority,type,speed,lanes,allow,disallow,has_traffic_light,type_clean,length,bearing,start_x,start_y,end_x,end_y
-1024000539#0,1687124785,430921309,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,185.03542831931532,90.06990128233394,4179.57,3281.41,4351.7,3281.2
-1024000539#1,3340881357,1687124785,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,106.3303926448123,101.21482355410717,4075.27,3302.09,4179.57,3281.41
-1024000539#2,430920519,3340881357,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,31.928160390181297,104.87242808489799,4044.43,3310.28,4075.27,3302.09
-1024000539#3,3340881368,430920519,3,highway.residential,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,residential,47.24399240726884,101.0839194847166,3998.08,3319.36,4044.43,3310.28
-1024000548,423413664,423413660,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,197.57511552867123,245.66534682700632,3238.17,4078.86,3058.71,3997.7
-1057740876,9719107989,9719107999,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,266.5149039534316,222.77733191373244,3119.06,1863.39,2943.6,1673.76
-1057740877#0,10152611762,9719108001,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,13.820032561466414,89.87562440770694,4746.43,1609.45,4760.25,1609.48
-1057740877#1,10152611763,10152611762,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,104.06040409300785,89.84032545605208,4642.37,1609.16,4746.43,1609.45
-1057740877#2,10092616463,10152611763,4,highway.unclassified,29.988,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,8.670024193508116,89.86783003948545,4633.7,1609.14,4642.37,1609.16
-1057740879,9719108001,9719108002,4,highway.unclassified,50.004000000000005,1,,tram rail_urban rail rail_electric rail_fast ship,0,unclassified,216.84401767168944,180.34878018247701,4760.25,1609.48,4758.93,1392.64
